society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
SS The Leaf,111.00000000000001,6851.0,2.0,2.0,3.0,8.0,North,Relatively New,2, Sector 85 Gurgaon,26.0,0,0,0,1,1620.0,1630.0,1640.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162020143044811
DLF The Ultima,225.0,10755.0,3.0,4.0,3.0,11.0,West,Relatively New,3, Sector 81 Gurgaon,29.0,1,0,0,0,2087.0,2090.0,2092.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3,3,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0.02092050209205021
SS The Coralwood,105.0,6774.0,3.0,3.0,3.0,6.0,North-East,Relatively New,3, Sector 84 Gurgaon,20.0,0,0,0,0,1550.0,1610.0,1750.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01550044286979628
DLF The Primus,260.0,11438.0,4.0,4.0,3.0,2.0,East,Relatively New,4, Sector 82A Gurgaon,32.0,0,0,0,0,1340.0,,2273.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227312467214548
SS The Leaf,104.0,8320.0,2.0,2.0,3.0,17.0,East,New Property,2, Sector 85 Gurgaon,26.0,0,0,0,0,1250.0,1550.0,1640.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125
DLF Regal Gardens,125.0,7167.0,3.0,3.0,2.0,11.0,East,Relatively New,3, Sector 90 Gurgaon,29.0,0,0,0,0,,,1744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01744104925352309
Experion Windchants,340.0,12134.0,3.0,3.0,2.0,14.0,North-East,Relatively New,3, Sector 112 Gurgaon,28.0,0,0,0,0,,2225.56,2802.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.028020438437448492
DLF Regal Gardens,125.0,7339.0,3.0,3.0,3.0,28.0,North,Moderately Old,3, Sector 90 Gurgaon,29.0,1,0,0,0,,,1703.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017032293227960214
Pyramid Urban Homes ,41.5,8283.0,2.0,2.0,1.0,7.0,West,New Property,2, Sector 86 Gurgaon,13.0,1,1,1,0,501.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005010261982373536
Vatika Gurgaon ,75.0,6024.0,2.0,2.0,2.0,19.0,East,Relatively New,2, Sector 83 Gurgaon,21.0,0,0,0,0,1020.0,1150.0,1245.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0.01245019920318725
DLF Regal Gardens,170.0,7223.0,4.0,4.0,3.0,15.0,North-West,Moderately Old,4, Sector 90 Gurgaon,29.0,1,0,0,0,,,2215.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,17,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02353592690017998
TARC Maceo,87.0,6641.0,2.0,2.0,2.0,9.0,North-West,Relatively New,2, Sector 91 Gurgaon,13.0,0,0,0,1,1000.0,,1310.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,39,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013100436681222707
DLF Regal Gardens,125.0,10416.0,3.0,3.0,3.0,18.0,North,Moderately Old,3, Sector 90 Gurgaon,29.0,1,0,0,0,1200.0,,1702.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012000768049155145
DLF The Ultima,235.0,11233.0,3.0,4.0,3.0,18.0,North,Relatively New,3, Sector 81 Gurgaon,29.0,1,0,0,0,1100.0,,2092.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,34,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02092050209205021
ATS Triumph,173.0,7554.0,3.0,4.0,3.0,15.0,North-East,Relatively New,3, Sector 104 Gurgaon,27.0,1,0,0,0,,,2290.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022901773894625364
Paras Dews,97.0,8818.0,2.0,2.0,3.0,6.0,North-East,New Property,2, Sector 106 Gurgaon,24.0,0,0,1,0,1100.0,1200.0,1385.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.011000226808800181
Paras Dews,135.0,7297.0,4.0,4.0,3.0,18.0,North-East,Relatively New,4, Sector 106 Gurgaon,24.0,1,0,1,0,1850.0,2100.0,2355.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0185007537344114
Pareena Coban Residences,132.0,6609.0,3.0,5.0,3.0,11.0,North-East,New Property,3, Sector 99A Gurgaon,20.0,1,0,0,0,1500.0,,1997.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.01997276441216523
Eldeco Accolade,71.5,5607.0,2.0,2.0,3.0,10.0,North-East,Relatively New,2, Sohna,18.0,0,0,0,0,,,1275.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012751917246299269
Eldeco Accolade,78.0,5422.0,2.0,2.0,2.0,7.0,North,Relatively New,2, Sohna,18.0,0,1,0,0,,,1457.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,49,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014385835485060863
MM Golfestate,550.0,16959.0,3.0,4.0,3.0,3.0,North-East,Relatively New,3, Sector 65 Gurgaon,40.0,1,0,0,0,2388.0,2803.0,3243.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03243115749749396
DLF The Ultima,229.99999999999997,14375.0,3.0,4.0,3.0,18.0,North-East,Relatively New,3, Sector 81 Gurgaon,29.0,1,0,0,0,1600.0,,2132.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,3,0,1,0,2,0,0,1,3,0,0,0,0,0,0,0,0,2,0.015999999999999997
Sidhartha NCR One Phase ,43.0,3152.0,2.0,2.0,2.0,6.0,North,Relatively New,2, Sector 95 Gurgaon,21.0,0,0,0,0,1020.0,1300.0,1364.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01364213197969543
MM Woodshire,98.5,6421.0,2.0,2.0,3.0,7.0,West,Relatively New,2, Sector 107 Gurgaon,14.0,0,1,0,0,1056.0,,1534.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.01534028967450553
MM Woodshire,80.0,5856.0,2.0,2.0,3.0,6.0,West,Relatively New,2, Sector 107 Gurgaon,14.0,0,0,1,0,1055.0,,1366.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.01366120218579235
ATS Triumph,265.0,8412.0,4.0,4.0,3.0,10.0,North-East,Relatively New,4, Sector 104 Gurgaon,27.0,1,0,0,0,,,3150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03150261531145982
DLF Exclusive Floors,235.0,14242.0,3.0,3.0,2.0,1.0,North-East,Old Property,3, DLF Phase 5,2.0,0,0,0,1,1405.0,,1650.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.016500491504002245
MM Woodshire,129.0,8835.0,3.0,3.0,3.0,1.0,East,Relatively New,3, Sector 107 Gurgaon,14.0,0,0,1,0,1460.0,,1943.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0.014601018675721562
ATS Triumph,183.0,7991.0,3.0,4.0,3.0,10.0,North,Relatively New,3, Sector 104 Gurgaon,27.0,1,0,0,0,1750.0,2000.0,2290.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.022900763358778626
MM Woodshire,139.0,5887.0,3.0,4.0,3.0,6.0,East,Relatively New,3, Sector 107 Gurgaon,14.0,1,0,1,0,1780.0,,2361.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023611347035841685
Vatika Gurgaon ,112.00000000000001,6455.0,3.0,3.0,2.0,4.0,South-East,Relatively New,3, Sector 83 Gurgaon,18.0,1,1,1,1,1126.0,1200.0,1735.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.017350890782339274
Raheja Vedaanta,65.0,4761.0,2.0,2.0,2.0,5.0,East,Relatively New,2, Sector 108 Gurgaon,22.0,0,0,1,0,,,1365.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,,,,,,,,,,,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0.013652593992858644
TARC Maceo,150.0,6465.0,3.0,4.0,3.0,3.0,North-West,Relatively New,3, Sector 91 Gurgaon,13.0,1,1,0,0,1325.0,,2320.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02320185614849188
TARC Maceo,190.0,6975.0,4.0,4.0,3.0,9.0,North,Relatively New,4, Sector 91 Gurgaon,13.0,1,0,0,0,,,2724.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02724014336917563
The Close North,235.0,11227.0,3.0,3.0,3.0,8.0,North-East,Moderately Old,3, Nirvana Country,18.0,0,0,0,1,1850.0,2000.0,2093.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,3,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,2,0.02093168255099314
Ansal API Celebrity Suites,60.0,8163.0,1.0,1.0,1.0,5.0,North-East,Moderately Old,1, Sector 2 Gurgaon,15.0,0,0,0,0,,,735.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,34,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.00735023888276369
DLF Ridgewood Estate,200.0,14598.0,3.0,3.0,1.0,12.0,North-East,Old Property,3, DLF Phase 4,14.0,0,0,0,0,,,1370.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,44,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,6,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0.013700506918755994
MM Skywalk,157.0,11000.0,2.0,2.0,3.0,10.0,South,Relatively New,2, Sector 74 Gurgaon,30.0,0,0,0,0,1100.0,1300.0,1424.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014272727272727272
Corona Optus,144.0,7250.0,3.0,3.0,3.0,8.0,North-West,New Property,3, Sector 37C Gurgaon,10.0,1,0,0,0,1990.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019862068965517243
Corona Optus,126.0,7250.0,3.0,3.0,3.0,4.0,North-East,New Property,3, Sector 37C Gurgaon,10.0,0,0,0,0,965.0,1400.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017379310344827585
MM Sierra ,105.0,8536.0,2.0,2.0,2.0,11.0,North-East,New Property,2, Sector 68 Gurgaon,30.0,0,0,0,0,1000.0,1200.0,1230.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,2,0.012300843486410497
Parsvnath Exotica,644.0,19000.0,4.0,4.0,3.0,7.0,West,Moderately Old,4, Sector 53 Gurgaon,18.0,1,0,0,0,,,3390.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,2,0.03389473684210526
Pioneer Araya,756.0,18000.0,4.0,4.0,3.0,23.0,West,Relatively New,4, Sector 62 Gurgaon,34.0,1,0,1,0,,4200.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8,5,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0.042
DLF Trinity Towers,380.0,15510.0,3.0,3.0,3.0,1.0,South-East,Moderately Old,3, DLF Phase 5,19.0,1,0,1,0,,2450.0,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,32,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.024500322372662798
DLF Park Place,675.0,24963.0,4.0,4.0,2.0,8.0,North,Moderately Old,4, Sector 54 Gurgaon,30.0,1,0,0,0,1534.0,,2704.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6,6,1,1,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0.02704001922845812
Shree Vardhman Flora,64.5,4961.0,2.0,2.0,3.0,11.0,North-West,Relatively New,2, Sector 90 Gurgaon,13.0,0,1,0,0,1075.0,1225.0,1300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.013001411005845596
ATS Tourmaline,175.0,8139.0,3.0,4.0,3.0,7.0,North-East,Relatively New,3, Sector 109 Gurgaon,27.0,1,0,0,0,,1797.0,2150.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021501412949993855
Kiran Residency,154.0,8324.0,3.0,4.0,3.0,5.0,South,Old Property,3, Sector 56 Gurgaon,9.0,1,0,0,0,1850.0,1900.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,26,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.01850072080730418
Emaar Gurgaon Greens,140.0,8484.0,3.0,3.0,3.0,4.0,North,Relatively New,3, Sector 102 Gurgaon,14.0,1,0,0,0,,,1650.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,30,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0165016501650165
Shapoorji Pallonji Joyville Gurugram,97.0,10601.0,2.0,2.0,2.0,12.0,East,Relatively New,2, Sector 102 Gurgaon,26.0,0,0,0,0,,,915.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,47,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009150080181114989
Shapoorji Pallonji Joyville Gurugram,135.0,9933.0,2.0,2.0,2.0,9.0,North-East,Relatively New,2, Sector 102 Gurgaon,26.0,0,0,0,0,,,1359.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01359106010268801
Conscient Heritage Max,175.0,9011.0,3.0,4.0,3.0,13.0,North,Relatively New,3, Sector 102 Gurgaon,25.0,1,0,0,0,,,1942.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,36,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3,2,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0.0194207080235268
Indiabulls Centrum Park,220.00000000000003,7652.0,4.0,6.0,3.0,4.0,North-East,Relatively New,4, Sector 103 Gurgaon,18.0,1,0,0,0,,,2875.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4,3,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0.028750653423941456
Sobha City,245.00000000000003,14040.0,3.0,3.0,3.0,15.0,West,Relatively New,3, Sector 108 Gurgaon,19.0,0,0,0,0,1320.0,1460.0,1745.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017450142450142453
Paras Dews,150.0,6369.0,4.0,6.0,3.0,11.0,North-West,Relatively New,4, Sector 106 Gurgaon,24.0,1,0,0,0,1403.0,1535.0,2355.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023551577955723033
La Vida by Tata Housing,240.0,10825.0,3.0,4.0,3.0,5.0,North-East,Relatively New,3, Sector 113 Gurgaon,25.0,1,0,0,0,1730.0,1940.0,2217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.022170900692840646
La Vida by Tata Housing,245.00000000000003,11050.0,3.0,3.0,3.0,3.0,North-East,Relatively New,3, Sector 113 Gurgaon,25.0,0,1,0,0,1680.0,1890.0,2217.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,62,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022171945701357467
